UrunKodu,UrunAdi,Kategori,BirimFiyat,StokAdedi,KritikStok,Tedarikci,KDV,SonGuncelleme,Aktif
URN-1220,GIYIM ÜRÜN 738,Giyim,"5.727,71",102,100,bilinmiyor,%20,N/A,evet
URN-1271,KIRTASIYE ÜRÜN 103,Giyim,1228.59,172,100,bilinmiyor,%18,2026-01-24,H
URN-1047,Oyuncak Ürün 196,Kozmetik,1565.20,739,100,Gama Tic,18,24/05/2024,true
URN-1058,Kırtasiye Ürün 413,-,"2.337,78",618,20,Alfa Ltd,18,2024-02-08,hayır
URN-1388,Mobilya Ürün 885,Gıda,7109.57,262,10,Beta A.Ş,10,2024-11-21,H
URN-1084,Kozmetik Ürün 462,Giyim,7103.31, ,10,Alfa Ltd,18,2025-09-17,0
URN-1480,ELEKTRONIK ÜRÜN 298,null,"1.612,51",NaN,10,Epsilon,10,01.11.2024,1
URN-1459,elektronik ürün 639,Oyuncak,"7.914,80",307,20,Alfa Ltd,18,17.04.2024,hayır
URN-1022,Oyuncak Ürün 291,Elektronik,"2.620,07",45,100,Gama Tic,1,28.04.2025,H
URN-1350,Kırtasiye Ürün 265,Spor,"476,02",963,100,Gama Tic,8,30.10.2025,0
URN-1192,Giyim Ürün 568,Kozmetik,2706.42,N/A,50,Gama Tic,10,03.07.2025,0
URN-1409,GIYIM ÜRÜN 392,Spor,812.51,507,100,Epsilon,20,17/11/2025,evet
URN-1097,oyuncak ürün 900,N/A,5177.93,429,10,Beta A.Ş,18,2025-07-29,evet
URN-1477,ELEKTRONIK ÜRÜN 363,Elektronik,5561.45,889,100,Delta San,10,11/05/2024,E
URN-1391,kozmetik ürün 945,Gıda,"4.170,32",1470,100,Alfa Ltd,20,16.06.2024,1
URN-1300,Gıda Ürün 567,Kozmetik,4955.60,1235,10,N/A,10,15.03.2024,1
URN-1182,Oyuncak Ürün 364,Oyuncak,"5.264,79",1033,50,N/A,18,08/07/2025,true
URN-1328,kırtasiye ürün 256,Gıda,"6.892,39",39,10,Epsilon,%20,30.06.2024,evet
URN-1029,OYUNCAK ÜRÜN 204,Mobilya,"6.688,71",401,10,Alfa Ltd,10,24.02.2026,evet
URN-1421,Giyim Ürün 481,Elektronik,5102.88,1015,50,Beta A.Ş,10,26.03.2024,false
URN-1178,GIDA ÜRÜN 263,Spor,"6.414,14",1078,20,Delta San,%20,2025-11-24,0
URN-1359,gıda ürün 979,Gıda,"705,95",635,20,Beta A.Ş,%18,05.08.2024,hayır
URN-1073,KIRTASIYE ÜRÜN 824,Elektronik,2841.13,781,100,Epsilon,10,15.10.2024,E
URN-1025,Oyuncak Ürün 899,Elektronik,4486.35,,50,Beta A.Ş,%20,2025-11-11,H
URN-1092,  Giyim Ürün 343 ,Kırtasiye,"6.364,78",yok,50,Beta A.Ş,18,30/12/2024,false
URN-1103,MOBILYA ÜRÜN 373,Oyuncak,"1.154,96",1078,100,Beta A.Ş,10,2025-09-26,1
URN-1472,Spor Ürün 282,Kırtasiye,"6.091,66",1406,100,Delta San,%18,17.05.2024,E
URN-1460,GIDA ÜRÜN 306,Gıda,"3.138,35",543,100,Delta San,10,2026-03-22,1
URN-1413,KOZMETIK ÜRÜN 31,Giyim,213.44,1120,20,Delta San,10,13.08.2025,E
URN-1279,Spor Ürün 865,Gıda,"7.241,69",673,20,Delta San,%20,2025-10-27,hayır
URN-1010,Mobilya Ürün 826,Giyim,"2.574,71",1378,20,Delta San,%18,10.02.2026,H
URN-1091,GIDA ÜRÜN 665,Spor,"4.986,41",952,20,Alfa Ltd,8,28/11/2024,false
URN-1186,Spor Ürün 25,Kozmetik,"7.987,42",154,10,Gama Tic,%18,05.03.2025,H
URN-1452,spor ürün 759,Elektronik,6932.29,1074,10,Gama Tic,20,2025-06-15,evet
URN-1176,GIDA ÜRÜN 387,Gıda,5614.04,955,50,Epsilon,%20,22.11.2025,false
URN-1071,Giyim Ürün 166,Oyuncak,"7.966,67",368,100,Alfa Ltd,10,12.02.2024,evet
URN-1261,Giyim Ürün 741,Kozmetik,"3.874,18",196,10,Alfa Ltd,18,12/12/2025,E
URN-1443,Spor Ürün 485,N/A,1356.63,1210,100,-,10,13.02.2024,false
URN-1352,MOBILYA ÜRÜN 117,Oyuncak,7501.84,1305,50,Epsilon,%18,30/05/2024,0
URN-1446,Elektronik Ürün 673,Gıda,4542.43,951,100,Beta A.Ş,1,02/12/2024,1
URN-1065,Mobilya Ürün 348,Kırtasiye,5789.09,791,20,Gama Tic,18,30/08/2025,false
URN-1161,MOBILYA ÜRÜN 479,Gıda,"914,28",474,50,Gama Tic,18,2025-08-28,0
URN-1483,SPOR ÜRÜN 986,Elektronik,2170.80,n/a,100,Alfa Ltd,10,09.02.2025,H
URN-1247,MOBILYA ÜRÜN 151,Gıda,"2.186,59",817,10,Beta A.Ş,18,23.01.2024,evet
URN-1069,Kırtasiye Ürün 72,N/A,4641.11,540,50,Delta San,%18,07.06.2026,hayır
URN-1082,elektronik ürün 45,Kozmetik,5105.06,n/a,10,Delta San,8,2026-01-21,H
URN-1373,Kozmetik Ürün 878,Kozmetik,3650.12,936,100,Alfa Ltd,18,2024-03-08,evet
URN-1304,Mobilya Ürün 115,Elektronik,3290.02,196,20,Delta San,18,12/04/2026,false
URN-1089,Giyim Ürün 381,Oyuncak,21.56,294,100,Alfa Ltd,20,19/10/2025,evet
URN-1280,spor ürün 128,Giyim,"3.068,80",540,20,Epsilon,18,19.06.2025,false
URN-1017,Kozmetik Ürün 486,Mobilya,7817.90,340,20,Alfa Ltd,1,04/08/2025,H
URN-1177,kırtasiye ürün 549,Gıda,"914,87",256,50,Gama Tic,8,02.03.2024,true
URN-1109,  Spor Ürün 502 ,Kozmetik,"5.817,88",395,100,N/A,20,09.10.2024,true
URN-1438,oyuncak ürün 151,Kırtasiye,"2.317,42",110,100,Beta A.Ş,18,17.05.2024,0
URN-1074,  Kırtasiye Ürün 476 ,Kozmetik,6407.46,860,10,Alfa Ltd,%20,06/10/2024,0
URN-1131,gıda ürün 421,Oyuncak,"327,22",308,50,Gama Tic,8,n/a,evet
URN-1027,Mobilya Ürün 62, ,4744.38,71,20,Delta San,20,17.06.2025,evet
URN-1037,Spor Ürün 790,Gıda,3977.21,924,10,Delta San,18,NaN,false
URN-1405,Kırtasiye Ürün 141,Giyim,"2.523,13",1476,100,Delta San,20,24/03/2024,true
URN-1333,spor ürün 969,N/A,"3.710,20",361,100,Alfa Ltd,10,25/04/2024,H
URN-1253,MOBILYA ÜRÜN 392,Kırtasiye,"2.588,52",n/a,50,Epsilon,1,2026-03-02,true
URN-1251,Mobilya Ürün 726,yok,2426.56,896,50,Alfa Ltd,20,2024-04-14,true
URN-1334,Elektronik Ürün 546,Kozmetik,"2.585,23",637,100,Gama Tic,%18,26.11.2025,true
URN-1183,Spor Ürün 584,Kozmetik,"6.431,86",1346,20,Delta San,1,2024-06-09,hayır
URN-1243,Kozmetik Ürün 404,Elektronik,"1.091,16",713,10,Delta San,20,bilinmiyor,H
URN-1296,Oyuncak Ürün 729,Spor,"2.864,07",1396,20,n/a,8,01/04/2024,H
URN-1049,Giyim Ürün 170,Spor,"179,42",1297,20,Epsilon,20,n/a,H
URN-1145,Oyuncak Ürün 336,Mobilya,5054.67,378,20,Beta A.Ş,%20,31.01.2024,H
URN-1007,KOZMETIK ÜRÜN 608,yok,"7.263,59",669,50,Alfa Ltd,10,02/12/2024,hayır
URN-1138,giyim ürün 375,Gıda,"3.036,08",,100,N/A,10,13/03/2026,H
URN-1156,kozmetik ürün 98,Elektronik,7526.12,709,20,Alfa Ltd,20,04.09.2024,true
URN-1245,Giyim Ürün 17,Gıda,"2.192,06",638,100,Gama Tic,10,2026-03-12,0
URN-1080,Kozmetik Ürün 861,Elektronik,"2.234,40",1109,100,Gama Tic,10,14.06.2026,hayır
URN-1123,Giyim Ürün 678,Elektronik,"5.356,39",NaN,10,Gama Tic,%20,05/06/2024,1
URN-1009,gıda ürün 413,Spor,yaklasik 1000,n/a,50,Epsilon,%20,2025-07-03,evet
URN-1159,KIRTASIYE ÜRÜN 123,Mobilya,3733.63,1217,100,Epsilon,%20,yok,hayır
URN-1203,MOBILYA ÜRÜN 275,N/A,"3.689,41",1364,10,Delta San,%20,19.05.2024,evet
URN-1099,Kozmetik Ürün 692,Kırtasiye,"5.221,75",1472,100,-,10,02/10/2024,H
URN-1128,Spor Ürün 610,Elektronik,"7.370,03",168,50,Gama Tic,%18,22.07.2025,evet
URN-1050,Mobilya Ürün 985,Gıda,3651.90,1368,20,Epsilon,1,20/04/2025,hayır
URN-1099,Kozmetik Ürün 692,Kırtasiye,"5.221,75",1472,100,-,10,02/10/2024,H
URN-1262,oyuncak ürün 61,Giyim,?,980,10,Gama Tic,%18,06/01/2026,0
URN-1433,giyim ürün 229,Spor,1078.51,1229,100,Alfa Ltd,%18,2024-11-26,0
URN-1083,elektronik ürün 447,Gıda,5387.92,1181,10,Alfa Ltd,%20,2025-10-09,E
URN-1012,  Gıda Ürün 620 ,Gıda,4416.52,39,100,Beta A.Ş,8,03.02.2026,E
URN-1041,Giyim Ürün 846,Kozmetik,"6.760,64",1287,20,Beta A.Ş,8,17.02.2025,0
URN-1184,elektronik ürün 857,Kozmetik,2758.11,603,100,Alfa Ltd,%20,2026-06-10,true
URN-1204,Mobilya Ürün 699,Kırtasiye,"6.668,15",1405,10,Beta A.Ş,%20,2025-04-18,E
URN-1166,kozmetik ürün 949,Mobilya,"6.513,29",851,50,Beta A.Ş,%20,-,0
URN-1330,GIDA ÜRÜN 8,Gıda,"6.221,96",1003,50, ,10,15.03.2026,0
URN-1382,Mobilya Ürün 775,NaN,"1.394,94",278,20,Epsilon,8,2024-02-20,evet
URN-1124,KIRTASIYE ÜRÜN 430,Oyuncak,"1.958,57",321,20,Alfa Ltd,10,01/08/2024,true
URN-1122,kırtasiye ürün 873,Kozmetik,5043.09,975,20,Delta San,10,08.01.2024,1
URN-1431,Kırtasiye Ürün 477,Elektronik,7465.04,927,10,Epsilon,18,17/04/2024,1
URN-1303,Spor Ürün 977,Oyuncak,379.66,16,10,Beta A.Ş,18,19/01/2024,false
URN-1150,ELEKTRONIK ÜRÜN 276,Elektronik,"660,15",258,20,Alfa Ltd,20,20.05.2025,H
URN-1030,Kozmetik Ürün 805,Gıda,4524.91,969,20,-,1,2024-02-14,evet
URN-1178,GIDA ÜRÜN 263,Spor,"6.414,14",1078,20,Delta San,%20,2025-11-24,0
URN-1046,Gıda Ürün 23,null,330.03,108,50,Epsilon,18,2024-03-15,true
URN-1363,SPOR ÜRÜN 785,Elektronik,5036.37,1196,20,Delta San,10,11.10.2025,1
URN-1038,  Spor Ürün 506 ,Kozmetik,"7.485,71",200,20,Delta San,8,22/12/2024,false
URN-1111,OYUNCAK ÜRÜN 799,Gıda,3251.80,683,100,Beta A.Ş,1,2024-02-23,evet
URN-1137,SPOR ÜRÜN 582,Mobilya,"1.832,00",829,10,Epsilon,20,-,false
URN-1401,Oyuncak Ürün 289,Oyuncak,1853.48,105,50,Alfa Ltd,18,19.06.2024,evet
URN-1066,Giyim Ürün 227,Giyim,"2.574,23",742,100,Alfa Ltd,10,18/12/2025,E
URN-1011,spor ürün 417,Elektronik,"7.677,42",170,100,Beta A.Ş,10,02/12/2025,evet
URN-1440,SPOR ÜRÜN 395,Giyim,"1.972,98",1357,50,Delta San,18,03/08/2025,1
URN-1469,Gıda Ürün 68,bilinmiyor,6417.23,1048,20,yok,%20,25.08.2024,evet
URN-1336,GIYIM ÜRÜN 678,-,"7.813,79",462,50,Epsilon,18,26.05.2024,E
URN-1281,OYUNCAK ÜRÜN 314,Giyim,5638.05,1017,10,Beta A.Ş,20,2025-12-31,false
URN-1112,Kozmetik Ürün 329,Kırtasiye,"3.105,70",1459,10,Beta A.Ş,10,18.04.2024,E
URN-1487,  Kozmetik Ürün 742 ,Elektronik,7758.21,897,20,Delta San,%18,11/09/2025,1
URN-1157,ELEKTRONIK ÜRÜN 8,Kırtasiye,5434.92,1459,20,-,10,bilinmiyor,true
URN-1059,GIYIM ÜRÜN 327,Oyuncak,"5.296,03",965,50,Delta San,10,18.02.2025,E
URN-1174,gıda ürün 72,Mobilya,6071.87,998,10,Epsilon,20,-,E
URN-1289,elektronik ürün 628,Gıda,"6.431,73",1166,50,Gama Tic,10,17.07.2024,H
URN-1213,MOBILYA ÜRÜN 322,Elektronik,644.51,702,10,Delta San,8,26.03.2026,false
URN-1306,giyim ürün 830,Oyuncak,1497.27,1449,100,Gama Tic,8,2025-03-31,false
URN-1418,Giyim Ürün 51,Giyim,"5.249,64",1395,100,Beta A.Ş,%18,11/11/2025,hayır
URN-1043,Giyim Ürün 970,Mobilya,5185.01,191,10,Gama Tic,%20,28.08.2025,1
URN-1149,Spor Ürün 926,Gıda,"5.031,00",510,20,Beta A.Ş,%18,24.01.2026,hayır
URN-1378,KIRTASIYE ÜRÜN 290,Elektronik,"6.091,59",925,10,Delta San,%20,23.01.2026,1
URN-1053,kozmetik ürün 634,Gıda,"7.141,10",99,100,Epsilon,%18,17.03.2025,true
URN-1415,KOZMETIK ÜRÜN 360,Kırtasiye,"5.208,82",778,50,,%18,2024-09-27,false
URN-1309,spor ürün 656,Gıda,"7.951,17",187,20,bilinmiyor,1,2025-03-06,E
URN-1310,Kırtasiye Ürün 212,Giyim,4643.16,1290,50,Alfa Ltd,%18,09.03.2025,0
URN-1101,Gıda Ürün 434,Spor,3850.93,918,10,Gama Tic,1,08.12.2025,hayır
URN-1106,Kozmetik Ürün 919,Spor,"4.181,64",325,10,bilinmiyor,20,27/09/2024,hayır
URN-1034,elektronik ürün 845,Mobilya,5649.32,503,10,,20,2024-12-14,evet
URN-1041,Giyim Ürün 846,Kozmetik,"6.760,64",1287,20,Beta A.Ş,8,17.02.2025,0
URN-1233,GIYIM ÜRÜN 611,Elektronik,"7.136,60",609,100,Beta A.Ş,8,12.07.2024,evet
URN-1182,Oyuncak Ürün 364,Oyuncak,"5.264,79",1033,50,N/A,18,08/07/2025,true
URN-1060,KOZMETIK ÜRÜN 969,Oyuncak,"4.328,21", ,50,Delta San,%18,2024-09-25,0
URN-1481,Spor Ürün 768,null,"2.506,10",1245,100,Beta A.Ş,20,2024-03-12,false
URN-1319,OYUNCAK ÜRÜN 893,Mobilya,"7.387,81",bilinmiyor,100,Beta A.Ş,8,30/12/2025,hayır
URN-1090,Elektronik Ürün 335, ,"7.603,00",987,100,yok,8,2024-10-09,false
URN-1129,Mobilya Ürün 44,Kırtasiye,707.58,960,100,Alfa Ltd,%20,03.11.2025,H
URN-1222,Kozmetik Ürün 697,Oyuncak,5836.85,190,10,Delta San,18,17.02.2025,H
URN-1278,SPOR ÜRÜN 958,Gıda,abc,168,50,Epsilon,10,12.04.2026,evet
URN-1033,Gıda Ürün 483,Mobilya,"7.412,45",789,10,Epsilon,%20,2025-02-17,H
URN-1294,KIRTASIYE ÜRÜN 474,yok,"5.756,73",1145,10,Gama Tic,18,23/10/2024,false
URN-1232,Kozmetik Ürün 537,Oyuncak,441.45,1113,20,Epsilon,20,31.12.2025,1
URN-1465,Oyuncak Ürün 704,Kırtasiye,"4.452,34",1242,10,Beta A.Ş,%20,03/06/2026,0
URN-1230,Giyim Ürün 425,Giyim,"5.551,84",838,20,Beta A.Ş,20,23.11.2025,E
URN-1002,kozmetik ürün 879,Kırtasiye,"4.582,32",925,10,Epsilon,20,yok,E
URN-1142,  Gıda Ürün 523 ,Kozmetik,"327,94",1447,20,Epsilon,18,19.08.2025,0
URN-1107,Kozmetik Ürün 682,Elektronik,3668.42,21,50,Delta San,10,,H
URN-1181,Kırtasiye Ürün 140,Giyim,"1.085,53",1435,50,Gama Tic,1,12/04/2024,1
URN-1490,Mobilya Ürün 544,Spor,"3.127,60",1098,50,Epsilon,8,28/04/2026,false
URN-1120,Elektronik Ürün 709,Giyim,"7.969,14",1353,10,Beta A.Ş,18,2024-12-14,1
URN-1164,Kozmetik Ürün 259,Spor,yaklasik 1000,1446,20,N/A,10,29.11.2024,0
URN-1285,Spor Ürün 797,Mobilya,6570.57,1436,100,Epsilon,8,10.07.2024,E
URN-1225,spor ürün 75,Spor,"1.996,72",957,100,Alfa Ltd,10,27.01.2024,hayır
URN-1255,  Mobilya Ürün 33 ,Gıda,1934.74,1221,10,Beta A.Ş,10,07.03.2024,true
URN-1464,Gıda Ürün 718,Kırtasiye,"2.860,45",693,50,Epsilon,%18,09/05/2024,1
URN-1316,Spor Ürün 652,Oyuncak,3870.48,385,20,Gama Tic,1,09/07/2024,0
URN-1191,Giyim Ürün 579,Spor,"6.935,92",141,50,Gama Tic,10,25.04.2024,false
URN-1020,Spor Ürün 392,Kozmetik,"2.542,61",1146,20,Alfa Ltd,18,25.04.2025,E
URN-1195,Oyuncak Ürün 82,Kozmetik,"5.189,61",1047,10,Gama Tic,%20,2024-02-18,evet
URN-1172,oyuncak ürün 705,Kırtasiye,"1.807,20", ,50,null,%18,14/07/2024,true
URN-1500,giyim ürün 220,Kozmetik,"7.536,69",708,20,Beta A.Ş,18,2025-02-16,evet
URN-1068,Elektronik Ürün 26,Gıda,759.28,381,10,Delta San,1,2025-03-16,H
URN-1237,Mobilya Ürün 868,Gıda,6519.82,352,20,Epsilon,18,2026-01-26,1
URN-1023,Mobilya Ürün 762,Giyim,3729.25,569,10,Beta A.Ş,%20,04/03/2024,E
URN-1329,Elektronik Ürün 638,Spor,3192.66,1210,20,Gama Tic,18,2026-04-17,H
URN-1154,spor ürün 320,Spor,"7.852,88",128,20,Beta A.Ş,%20,2025-07-07,true
URN-1447,Kozmetik Ürün 940,Oyuncak,6336.22,296,100,Delta San,%20,24.03.2024,E
URN-1335,GIDA ÜRÜN 70, ,2789.83,692,20,-,20,18.08.2025,E
URN-1467,Mobilya Ürün 493,Kırtasiye,"447,21", ,10,Delta San,20,05.08.2025,1
URN-1226,Kırtasiye Ürün 230,Gıda,"2.773,94",bilinmiyor,20,Beta A.Ş,18,09.02.2024,hayır
URN-1209,oyuncak ürün 662,Mobilya,"3.698,28",565,50,Gama Tic,18,2025-11-11,hayır
URN-1482,Elektronik Ürün 857,Gıda,3942.34,140,20,Epsilon,18,26/03/2026,hayır
URN-1366,Gıda Ürün 387,Elektronik,"6.426,91",358,20,Alfa Ltd,8,21/05/2024,H
URN-1324,Kozmetik Ürün 183,Oyuncak,7593.00,541,10,Alfa Ltd,10,29.11.2024,E
URN-1358,Oyuncak Ürün 899,Spor,3328.26,366,100,Epsilon,1,2024-03-08,hayır
URN-1498,MOBILYA ÜRÜN 74,Spor,1312.81,4,10,Gama Tic,20,22.01.2024,evet
URN-1313,gıda ürün 980,Mobilya,4350.58,482,50,,%20,31.12.2024,1
URN-1250,Kırtasiye Ürün 535,Elektronik,"7.672,66",366,100,Alfa Ltd,%20,2025-02-11,false
URN-1263,ELEKTRONIK ÜRÜN 448,Kozmetik,2845.54,995,50,Beta A.Ş,%18,21/01/2025,H
URN-1094,Mobilya Ürün 400,Mobilya,1056.91,883,10,Gama Tic,20,18.07.2025,0
URN-1264,  Gıda Ürün 151 ,Kırtasiye,"6.897,57",989,100,Beta A.Ş,10,03/07/2024,hayır
URN-1286,  Kırtasiye Ürün 258 ,Gıda,6179.88,950,50,N/A,%20,01.07.2025,false
URN-1221,oyuncak ürün 577,Kozmetik,4026.30,1174,50,Delta San,8,2025-03-09,E
URN-1240,Spor Ürün 193,yok,7745.31,877,50,Gama Tic,8,bilinmiyor,1
URN-1449,Oyuncak Ürün 534,Elektronik,"95,93",222,50,Alfa Ltd,1,01.11.2025,1
URN-1488,SPOR ÜRÜN 698,Mobilya,4818.66,133,20,Epsilon,18,05.05.2026,hayır
URN-1372,kozmetik ürün 577,Gıda,6332.02,null,10,Gama Tic,10,01.02.2025,hayır
URN-1287,Giyim Ürün 942,Oyuncak,7031.53,1015,100,Beta A.Ş,10,2024-10-09,hayır
URN-1463,Kırtasiye Ürün 862,Elektronik,yaklasik 1000,1172,50,Gama Tic,%20,bilinmiyor,false
URN-1383,ELEKTRONIK ÜRÜN 480,Kırtasiye,2468.90,bilinmiyor,100,Gama Tic,8,2024-07-09,evet
URN-1395,Mobilya Ürün 315,Mobilya,3453.85,413,100,Gama Tic,%18,06.12.2025,hayır
URN-1161,MOBILYA ÜRÜN 479,Gıda,"914,28",474,50,Gama Tic,18,2025-08-28,0
URN-1015,giyim ürün 45,Spor,3094.14,41,100, ,%20,10/10/2024,true
URN-1429,Gıda Ürün 385,Elektronik,4819.21,1006,50,Alfa Ltd,%20,04/02/2024,1
URN-1379,kırtasiye ürün 346,yok,6480.06,357,100,Delta San,20,11.01.2026,E
URN-1389,elektronik ürün 57,Kırtasiye,1952.71,1005,20,Alfa Ltd,18,04.03.2026,hayır
URN-1340,Kırtasiye Ürün 483,Spor,2831.27,710,20,Epsilon,%18,,E
URN-1407,SPOR ÜRÜN 886,Oyuncak,"2.183,18",1437,10,Epsilon,10,2026-01-20,0
URN-1432,elektronik ürün 727,Oyuncak,"481,54",861,50,Alfa Ltd,%18,09.08.2025,H
URN-1475,giyim ürün 117,Kozmetik,"5.650,97",157,50,Delta San,8,2024-07-23,H
URN-1474,GIDA ÜRÜN 328,Spor,975.65,188,20,Delta San,8,2025-02-04,H
URN-1070,spor ürün 566,Kırtasiye,1153.74,345,50,Alfa Ltd,1,01.01.2024,true
URN-1210,Gıda Ürün 945,Giyim,5200.50,823,10,Delta San,10,21.07.2024,false
URN-1314,Gıda Ürün 587,Kırtasiye,"1.284,17",1361,50,Epsilon,20,30/06/2024,hayır
URN-1291,Gıda Ürün 467,Kırtasiye,6422.92,1131,50,Beta A.Ş,10,14.10.2024,true
URN-1486,Gıda Ürün 602,Elektronik,"2.752,48",936,50,Beta A.Ş,18,23/01/2025,evet
URN-1201,kırtasiye ürün 535,Elektronik,973.76,507,100,Alfa Ltd,1,08.04.2024,1
URN-1136,elektronik ürün 998,Mobilya,"6.008,24",1120,100,Gama Tic,10,23/04/2025,true
URN-1052,giyim ürün 922,Elektronik,3635.85,891,20,Gama Tic,%18,2025-12-22,true
URN-1398,  Elektronik Ürün 856 ,Oyuncak,abc,1349,50,Beta A.Ş,10,2025-03-04,false
URN-1400,KOZMETIK ÜRÜN 42,Giyim,"1.730,25",157,20,Delta San,1,07/04/2024,hayır
URN-1194,oyuncak ürün 399,Kozmetik,"6.785,54",848,50,Gama Tic,18,18.02.2026,evet
URN-1320,Giyim Ürün 193,yok,1070.62,694,50,Gama Tic,8,12.05.2025,E
URN-1301,OYUNCAK ÜRÜN 670,null,2223.31,514,10,Delta San,8,2024-12-25,true
URN-1010,Mobilya Ürün 826,Giyim,"2.574,71",1378,20,Delta San,%18,10.02.2026,H
URN-1173,kırtasiye ürün 971,Gıda,4753.30,1500,10,NaN,20,18.01.2025,hayır
URN-1380,SPOR ÜRÜN 144,Mobilya,2630.46,yok,100,Gama Tic,10,06/03/2025,hayır
URN-1450,GIYIM ÜRÜN 629,Kozmetik,"6.458,60",321,50,Beta A.Ş,1,19.10.2024,false
URN-1377,kırtasiye ürün 180,Oyuncak,4544.89,607,100,Epsilon,18,2025-10-30,1
URN-1349,Elektronik Ürün 469,-,3464.82,1419,100,Gama Tic,8,08.01.2026,H
URN-1444,ELEKTRONIK ÜRÜN 548,Kırtasiye,4685.96,160,50,Alfa Ltd,%18,2024-07-18,H
URN-1455,  Oyuncak Ürün 263 ,,"6.464,29",559,10,Gama Tic,%20,23.09.2025,1
URN-1492,KOZMETIK ÜRÜN 884,,"4.380,36",462,10,Alfa Ltd,%18,2025-08-13,0
URN-1216,gıda ürün 710,Giyim,4299.20,971,100,N/A,10,2025-05-10,true
URN-1143,  Elektronik Ürün 98 ,Mobilya,"5.777,15",917,20,Beta A.Ş,%18,18.10.2025,H
URN-1040,KOZMETIK ÜRÜN 974,Giyim,2940.18,261,20,Beta A.Ş,%18,2024-12-12,hayır
URN-1035,oyuncak ürün 709,Kozmetik,"5.643,96",885,20,Delta San,10,28/02/2024,H
URN-1044,Oyuncak Ürün 768,Spor,"2.065,62",1409,100,Delta San,18,01.01.2024,H
URN-1479,giyim ürün 841,Mobilya,"3.548,93",1447,10,Epsilon,10,2024-02-25,true
URN-1121,SPOR ÜRÜN 964,Elektronik,2010.14,1190,10,Beta A.Ş,18,2026-05-08,H
URN-1205,  Elektronik Ürün 465 ,Gıda,"1.134,11",bilinmiyor,50,Delta San,%20,08.08.2024,0
URN-1126,Gıda Ürün 597,Gıda,"3.342,70",68,20,Epsilon,%20,2024-01-18,hayır
URN-1048,Giyim Ürün 253,Oyuncak,"3.415,14",1439,20,Beta A.Ş,%20,21/02/2026,E
URN-1451,Mobilya Ürün 755,yok,"2.041,60",1262,50,Alfa Ltd,8,14/04/2025,E
URN-1302,Giyim Ürün 221,n/a,4639.04,580,50,Epsilon,20,15.02.2024,H
URN-1290,Kırtasiye Ürün 74,Kozmetik,"3.654,61",1090,10,Delta San,10,02/03/2026,E
URN-1132,Elektronik Ürün 300,Elektronik,4852.49,bilinmiyor,50,,18,09.07.2025,H
URN-1458,Gıda Ürün 395,Mobilya,6032.87,1109,20,Delta San,%20,09.09.2024,hayır
URN-1484,  Elektronik Ürün 267 ,Elektronik,27.66,779,50,n/a,18,2025-01-17,evet
URN-1133,MOBILYA ÜRÜN 494,Gıda,5133.90,418,10,Epsilon,20,02.05.2024,0
URN-1408,Giyim Ürün 616,Giyim,"4.436,71",418,100,Epsilon,8,2026-03-03,false
URN-1057,Kozmetik Ürün 962,Mobilya,4644.49,872,10,Gama Tic,1,07.05.2026,hayır
URN-1208,gıda ürün 892,Mobilya,yaklasik 1000,307,50,Alfa Ltd,%20,2025-10-28,1
URN-1112,Kozmetik Ürün 329,Kırtasiye,"3.105,70",1459,10,Beta A.Ş,10,18.04.2024,E
URN-1434,Elektronik Ürün 23,Kırtasiye,7014.12,1000,100,Alfa Ltd,20,22.12.2025,true
URN-1417,oyuncak ürün 645,Mobilya,"3.064,90",462,100,Beta A.Ş,20,2024-08-13,1
URN-1414,GIDA ÜRÜN 364,Elektronik,3009.94,1332,100,Gama Tic,%20,31.03.2025,H
URN-1018,  Kırtasiye Ürün 145 ,Gıda,yaklasik 1000,325,100,Alfa Ltd,%18,2025-03-31,1
URN-1470,SPOR ÜRÜN 482,Oyuncak,3083.34,578,10,Gama Tic,%18,12/10/2024,false
URN-1088,Gıda Ürün 71,Kozmetik,"5.535,81",946,100,-,8,2024-03-17,false
URN-1152,elektronik ürün 566,Gıda,"4.756,25",1346,50,Alfa Ltd,18,19.05.2025,0
URN-1146,Mobilya Ürün 875,Giyim,7303.78,986,20,Delta San,18,03.09.2024,true
URN-1115,giyim ürün 461,Spor,"3.962,71",190,20,Epsilon,20,2025-05-13,evet
URN-1234,kırtasiye ürün 842,Oyuncak,"2.660,44",904,100,Epsilon,%18,02/03/2026,0
URN-1006,elektronik ürün 289,Kırtasiye,5167.35,939,10,Beta A.Ş,1,07/01/2025,evet
URN-1085,Spor Ürün 47,Oyuncak,abc,1015,50,Gama Tic,8,26.05.2024,true
